Id,SalePrice
1461,121399.90288775151
1462,156475.15908493835
1463,181863.04193218035
1464,189395.54840721356
1465,190297.86935513496
1466,175286.13285151272
1467,172140.03658366442
1468,165760.24660140008
1469,191465.83021376884
1470,121259.79965443572
1471,199865.06563051578
1472,94212.71100340557
1473,97587.64056385394
1474,155323.2878936704
1475,140458.88882788923
1476,409394.1271240941
1477,260188.1584957059
1478,293704.2792423292
1479,285370.61881300877
1480,478787.02293372684
1481,328595.660112141
1482,200604.85622529077
1483,166414.85578682463
1484,171404.56479428685
1485,171398.18519152974
1486,191452.60785217475
1487,365421.77202449064
1488,240836.37333815958
1489,204841.74992538808
1490,214072.7340806054
1491,189942.20207892725
1492,88637.30311376255
1493,185963.5139446018
1494,318184.71123332944
1495,306800.4306686584
1496,241299.58349462846
1497,182704.3440287692
1498,159743.9056545783
1499,161656.50736501446
1500,149078.30618358552
1501,175325.3879979346
1502,148456.49859006144
1503,290259.60578553757
1504,235372.67804968913
1505,231864.8874820411
1506,175538.0183766437
1507,241646.06836563066
1508,190630.50095538425
1509,163720.20029608367
1510,144870.8035990001
1511,141456.8135813238
1512,165814.06253767177
1513,149351.80411190048
1514,164650.40063021303
1515,192392.12443425244
1516,168330.66016868374
1517,156172.719309037
1518,132517.68416901084
1519,223875.4669316354
1520,135514.06916873128
1521,135287.2062727891
1522,167492.96426271042
1523,112030.56188070273
1524,126852.80535414128
1525,126963.57380538255
1526,122364.75253642065
1527,102564.32430034794
1528,130921.22435499656
1529,149772.26652377928
1530,184625.1750439026
1531,97807.20194429229
1532,94354.964188244
1533,140852.4283558567
1534,121349.13238432552
1535,148519.93155356872
1536,112765.2113891755
1537,69989.03613828344
1538,172688.08868485535
1539,199607.33380747092
1540,90375.80019815284
1541,140235.38662044881
1542,136922.69476417778
1543,218276.4845140442
1544,78418.8974806084
1545,108733.98346455599
1546,128637.286017443
1547,128882.8368303214
1548,132441.82291708217
1549,113433.70903364307
1550,141339.6162352021
1551,108750.68418569533
1552,127000.25205436589
1553,154645.54172237715
1554,111227.2881263335
1555,166849.8805522006
1556,77623.81643833031
1557,104044.81414155716
1558,89118.56781845013
1559,70927.53560126659
1560,135194.99515045734
1561,125817.57067144223
1562,132953.6665877713
1563,124160.08137811787
1564,151272.87906707625
1565,149960.66840157192
1566,236977.03930330102
1567,74591.75369638689
1568,225115.34526985383
1569,142000.12364644662
1570,127811.79567559736
1571,130643.86621511626
1572,149408.52481690576
1573,260474.25830841958
1574,116196.94085166643
1575,217263.04676668276
1576,210605.53946414974
1577,192658.71866705923
1578,148854.05948987775
1579,140344.44703299057
1580,185720.75166679308
1581,147831.2209381023
1582,129242.08161688964
1583,329930.25041137077
1584,224168.9978095456
1585,141002.92229327137
1586,69985.53192633153
1587,97846.91360844354
1588,152807.86386918186
1589,92182.55431584544
1590,135699.2825979111
1591,102388.97963572333
1592,115419.86857445873
1593,126804.3660377275
1594,119069.5314548511
1595,115792.74178489062
1596,244998.31373150344
1597,189096.80998790465
1598,210250.78536220352
1599,181993.44474020827
1600,182486.58608272823
1601,70229.57813756283
1602,103286.34942741072
1603,75943.569080501
1604,274379.71035733516
1605,247789.21353401613
1606,167981.18190254283
1607,159194.05292108838
1608,211204.15862897746
1609,192676.39652469484
1610,145547.83160370577
1611,143202.23168282045
1612,162014.74730229075
1613,155317.61229945105
1614,119191.30236482118
